[15:28:40	]S10/OWS.GHOST-58 has gained level 43 in the Silahlar skill.
[15:28:41	]S10/OWS.GHOST-58 has gained level 1 in the Tıp skill.
[15:28:54	]S10:SCN-3 used command '/Radio 100 CREDITS'.
[15:29:19	][IC] S10:SCN-3: Vatandaş hatırlatması: Eylemsizlik komplodur. Karşı davranışları derhal bir Sivil Koruma ekibine bildirin.
[15:29:34	][IC] S10:SCN-3: QUICK.
[15:29:42	]S10/OWS.GHOST-15 used command '/Radio Vector; Plaza üstü CW. Kod-100'.
[15:29:44	]S10/OWS.GHOST-15 used command '/Radio 100'.
[15:31:00	]S10/OWS.GHOST-58 used command '/Radio Unit 58 rapor veriyor, clear and code 100.'.
[15:31:04	]S10/OWS.GHOST-58 used command '/Radio clear code 100'.
[15:31:18	]S10/OWS.GHOST-15 used command '/Radio IDLE6'.
[15:31:28	]S10/OWS.GHOST-58 used command '/Radio copy that'.
[15:31:58	]S10/OWS.GHOST-58 ran 'Equip' on item 'Frag Grenade' (#76594)
[15:33:06	][IC] S10/OWS.GHOST-58: <:: Beş, dört, üç, iki, bir, flaş flaş flaş! ::>
[15:33:19	]Sinyor Gordon loaded the character 'S10/OWP.GHOST-22'
[15:33:20	]S10/OWP.GHOST-22 entered observer.
[15:33:24	]S10/OWP.GHOST-22 is fully healed.
[15:33:28	]S10/OWP.GHOST-22 exited observer at their location.
[15:33:57	]S10/OWP.GHOST-22 used command '/Radio help'.
[15:34:02	]S10/OWS.GHOST-15 used command '/Radio VECTOR?'.
[15:34:06	]S10/OWP.GHOST-22 used command '/Radio GET IT OFF'.
[15:34:12	]S10/OWP.GHOST-22 ran SAM command 'slay' with arguments: '22'
[15:34:13	]S10/OWS.GHOST-58 used command '/Radio unit 22, report i'.
[15:34:13	]S10/OWS.GHOST-15 used command '/Radio Vector?'.
[15:34:14	]S10/OWS.GHOST-58 used command '/Radio unit 22, report in'.
[15:34:15	]S10/OWS.GHOST-58 has gained a '20rnd Pulse Magazine' #76254.
[15:34:15	]S10/OWS.GHOST-58 has lost a '20rnd Pulse Magazine' #76255.
[15:34:20	]Sinyor Gordon loaded the character 'S10:SCN-3'
[15:34:25	]S10/OWS.GHOST-58 used command '/Radio overwatch, duty vacated.'.
[15:34:30	]S10/OWS.GHOST-15 used command '/Radio GO GO GO'.
[15:34:43	][IC] S10/OWS.GHOST-58: <:: FLASH. ::>
[15:34:47	][IC] S10/OWS.GHOST-58: <:: JET. ::>
[15:34:51	]S10:SCN-3 used command '/Radio UNIT DOWN AT'.
[15:34:56	][IC] S10/OWS.GHOST-58: <:: JET. ::>
[15:34:57	][IC] S10/OWS.GHOST-58: <:: JET. ::>
[15:34:57	]S10/OWS.GHOST-15 used command '/Radio Outlands?'.
[15:34:58	]S10:SCN-3 used command '/Radio LOST BIOSIGNAL'.
[15:34:59	]S10/OWS.GHOST-58 has gained a '20rnd Pulse Magazine' #76255.
[15:34:59	]S10/OWS.GHOST-58 has lost a '20rnd Pulse Magazine' #76254.
[15:35:03	]S10:SCN-3 used command '/Radio Outlands'.
[15:35:07	]S10/OWS.GHOST-58 has gained a '20rnd Pulse Magazine' #76254.
[15:35:07	]S10/OWS.GHOST-58 has lost a '20rnd Pulse Magazine' #76255.
[15:35:10	]S10/OWS.GHOST-15 used command '/Radio OZ Kapısını açın.'.
[15:35:12	]S10:SCN-3 used command '/Radio report status'.
[15:35:20	]Sinyor Gordon loaded the character 'Vladimir Miroslav'
[15:35:21	]Vladimir Miroslav entered observer.
[15:35:22	]S10/OWS.GHOST-15 used command '/Radio Vector; OZ kapısı'.
[15:35:29	]S10/OWS.GHOST-15 used command '/Radio Kapının açılmasını bekliyoruz.'.
[15:35:32	]Vladimir Miroslav exited observer at their location.
[15:35:33	]Vladimir Miroslav entered observer.
[15:35:38	]Vladimir Miroslav ran SAM command 'bring' with arguments: 'ows'
[15:35:41	]Vladimir Miroslav exited observer at their location.
[15:35:42	][IC] S10/OWS.GHOST-58: <:: JET. ::>
[15:35:46	][IC] S10/OWS.GHOST-15: <:: Move! ::>
[15:35:50	]S10/OWS.GHOST-15 has gained a '8rnd Shotgun Magazine' #76184.
[15:35:50	]S10/OWS.GHOST-15 has lost a '8rnd Shotgun Magazine' #76185.
[15:35:51	]Twoyne Brown is no longer afk. Total time spent AFK: 880
[15:35:52	]Sinyor Gordon loaded the character 'Martin South'
[15:35:53	]Martin South entered observer.
[15:35:54	][IC] S10/OWS.GHOST-58: <:: MOVE İT. ::>
[15:35:57	]Martin South is fully healed.
[15:35:59	]Twoyne Brown exited observer at their location.
[15:35:59	]S10/OWS.GHOST-58 has gained a '20rnd Pulse Magazine' #76255.
[15:35:59	]S10/OWS.GHOST-58 has lost a '20rnd Pulse Magazine' #76254.
[15:36:01	]Twoyne Brown entered observer.
[15:36:01	]Twoyne Brown exited observer at their location.
[15:36:02	]Twoyne Brown entered observer.
[15:36:03	]Twoyne Brown exited observer at their location.
[15:36:04	]Twoyne Brown entered observer.
[15:36:04	]Twoyne Brown exited observer at their location.
[15:36:05	]Twoyne Brown entered observer.
[15:36:05	]Twoyne Brown exited observer at their location.
[15:36:06	]Twoyne Brown entered observer.
[15:36:09	][IC] S10/OWS.GHOST-58: <:: Temasa hazırlanın. ::>
[15:36:10	]S10/OWS.GHOST-15 used command '/Radio DEPLOYING AND SCANNING'.
[15:36:20	]Martin South has spawned 'models/Combine_Soldier.mdl'.
[15:36:26	]Martin South has spawned 'models/headcrabclassic.mdl'.
[15:36:27	][IC] Twoyne Brown: F.
[15:36:34	]S10/OWS.GHOST-15 used command '/Radio AI Son görülme yeri?_'.
[15:36:47	][IC] S10/OWS.GHOST-58: <:: Shadow clear. ::>
[15:36:51	]S10/OWS.GHOST-15 used command '/Radio COPY'.
[15:37:04	]Martin South has spawned 'models/headcrabclassic.mdl'.
[15:37:06	]Martin South has spawned 'models/headcrabclassic.mdl'.
[15:37:07	]Martin South has spawned 'models/Zombie/Classic_torso.mdl'.
