[18:06:16	]Garet a activé le mode observateur.
[18:06:17	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:18	]Garet a activé le mode observateur.
[18:06:18	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:20	]Garet a activé le mode observateur.
[18:06:20	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:21	]Garet a activé le mode observateur.
[18:06:21	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:22	]Garet a activé le mode observateur.
[18:06:23	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:24	]Garet a activé le mode observateur.
[18:06:24	]Garet a désactivé le mode observateur à son point d'origine.
[18:06:26	]Garet a activé le mode observateur.
[18:16:30	]Garet est maintenant AFK.
[18:30:20	]Garet n'est plus AFK. Temps total passé AFK : 1425
[18:31:13	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:14	]Garet a activé le mode observateur.
[18:31:15	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:16	]Garet a activé le mode observateur.
[18:31:19	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:21	]Garet a activé le mode observateur.
[18:31:21	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:22	]Garet a activé le mode observateur.
[18:31:22	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:23	]Garet a activé le mode observateur.
[18:31:24	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:25	]Garet a activé le mode observateur.
[18:31:25	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:26	]Garet a activé le mode observateur.
[18:31:26	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:27	]Garet a activé le mode observateur.
[18:31:28	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:28	]Garet a activé le mode observateur.
[18:31:29	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:29	]Garet a activé le mode observateur.
[18:31:31	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:32	]Garet a activé le mode observateur.
[18:31:32	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:34	]Garet a activé le mode observateur.
[18:31:34	]Garet a désactivé le mode observateur à son point d'origine.
[18:31:36	]Garet a activé le mode observateur.
[18:34:57	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:58	]Garet a activé le mode observateur.
[18:34:58	]Garet a désactivé le mode observateur à son point d'origine.
[18:34:59	]Garet a activé le mode observateur.
[18:35:01	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:01	]Garet a activé le mode observateur.
[18:35:02	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:03	]Garet a activé le mode observateur.
[18:35:04	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:04	]Garet a activé le mode observateur.
[18:35:05	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:06	]Garet a activé le mode observateur.
[18:35:06	]Garet a désactivé le mode observateur à son point d'origine.
[18:35:07	]Garet a activé le mode observateur.
[18:42:40	]Garet (STEAM_0:0:219016395) s'est déconnecté.
[21:58:22	]Garet s'est connecté.
[21:59:24	]Guilgouille s'est connecté.
[21:59:28	]Garet chargé le personnage 'Garet'
[21:59:33	]Garet est complètement guéri.
[21:59:39	]Garet a activé le mode observateur.
[22:00:04	]Garet a désactivé le mode observateur à son point d'origine.
[22:00:09	]Garet has fired a toolgun with the name: light
[22:00:10	]Garet has fired a toolgun with the name: light
[22:00:11	]Guilgouille chargé le personnage 'Capitaine Alexandre Lambert'
[22:00:11	]Garet has fired a toolgun with the name: light
[22:00:14	]Garet has fired a toolgun with the name: light
[22:00:15	]Capitaine Alexandre Lambert a activé le mode observateur.
[22:00:16	]Capitaine Alexandre Lambert est complètement guéri.
[22:00:19	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[22:00:20	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[22:00:23	]Capitaine Alexandre Lambert a activé le mode observateur.
[22:00:24	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[22:00:25	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[22:00:26	]Capitaine Alexandre Lambert a activé le mode observateur.
[22:00:28	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[22:00:29	]Capitaine Alexandre Lambert a activé le mode observateur.
[22:00:29	]Capitaine Alexandre Lambert a désactivé le mode observateur à son point d'origine.
[22:00:34	][IC] Capitaine Alexandre Lambert: These Combine bastards just don't give up!
[22:00:34	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[22:00:53	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[22:01:00	]Garet a fait apparaitre 'models/props_junk/wood_crate001a.mdl.
[22:01:05	]Garet a fait apparaitre 'models/props_junk/wood_crate002a.mdl.
[22:01:08	]Garet a fait apparaitre 'models/props_junk/wood_crate001a.mdl.
[22:01:11	]Garet created a 'Caisse en bois' container.
[22:01:11	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[22:01:13	]Garet created a 'Caisse en bois' container.
[22:01:13	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[22:01:15	]Garet created a 'Grosse caisse en bois' container.
[22:01:15	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[22:01:16	]Garet created a 'Grosse caisse en bois' container.
[22:01:16	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[22:01:17	]Garet created a 'Grosse caisse en bois' container.
[22:01:17	]Garet a utilisé une option de menu contextuel portant ce nom : wncontainer_create
[22:01:30	]Garet a exécuté 'drop' sur l'article 'Masse' (#200663)
[22:01:30	]Garet a perdu un 'Masse' #200663.
[22:01:31	]Garet a exécuté 'drop' sur l'article 'Bandage' (#199857)
[22:01:31	]Garet a perdu un 'Bandage' #199857.
[22:01:32	]Garet a exécuté 'drop' sur l'article 'Small Bomb' (#163341)
[22:01:32	]Garet a perdu un 'Small Bomb' #163341.
[22:01:33	]Garet a exécuté 'drop' sur l'article 'Lampe Torche' (#199884)
[22:01:33	]Garet a perdu un 'Lampe Torche' #199884.
[22:01:34	]Garet a exécuté 'drop' sur l'article 'Carte de l'UTC - Niveau 0' (#186887)
[22:01:34	]Garet a perdu un 'Carte de l'UTC - Niveau 0' #186887.
[22:01:36	]Garet a exécuté 'drop' sur l'article 'Disquette' (#133354)
[22:01:36	]Garet a perdu un 'Disquette' #133354.
[22:01:38	]Garet a exécuté 'drop' sur l'article 'Bandage' (#133308)
[22:01:38	]Garet a perdu un 'Bandage' #133308.
[22:01:39	]Garet a exécuté 'drop' sur l'article 'DATA-PAD' (#149968)
[22:01:39	]Garet a perdu un 'DATA-PAD' #149968.
[22:01:40	]Garet a exécuté 'drop' sur l'article '# Carte CID n° : 88512' (#186888)
[22:01:40	]Garet a perdu un '# Carte CID n° : 88512' #186888.
[22:01:44	]Garet has fired a toolgun with the name: remover
[22:01:44	]Garet has fired a toolgun with the name: remover
[22:01:44	]Garet has fired a toolgun with the name: remover
[22:01:44	]Garet has fired a toolgun with the name: remover
[22:01:45	]Garet has fired a toolgun with the name: remover
[22:01:45	]Garet has fired a toolgun with the name: remover
[22:01:46	]Garet has fired a toolgun with the name: remover
[22:01:46	]Garet has fired a toolgun with the name: remover
[22:01:47	]Garet has fired a toolgun with the name: remover
[22:01:47	]Garet has fired a toolgun with the name: remover
[22:01:47	]Garet has fired a toolgun with the name: remover
[22:01:47	]Garet has fired a toolgun with the name: remover
[22:01:47	]Garet has fired a toolgun with the name: remover
[22:01:48	]Garet has fired a toolgun with the name: remover
[22:01:48	]Garet has fired a toolgun with the name: remover
[22:01:48	]Garet has fired a toolgun with the name: remover
[22:01:48	]Garet has fired a toolgun with the name: remover
[22:01:48	]Garet has fired a toolgun with the name: remover
[22:01:49	]Garet has fired a toolgun with the name: remover
